"","Sub_region","HAB","mod","jday","mDIC_mn","mDIC_se","mOmA_mn","mOmA_se","mPAR8_mn","mPAR8_se","mPARm_mn","mPARm_se","mTA_mn","mTA_se","mTemp_mn","mTemp_se","Perturbation"
"1780","UK","AL",2,211,2020.88458016297,6.32386629853992,3.9542137934276,0.0176942554023232,53.7337930613551,0.782933640445977,53.8697244052229,0.272258267826945,2362.71110123905,4.45098255905072,30.8504706896552,0.177086032943115,"Double Cover"
"1781","UK","AL",2,218,2020.88458016297,6.32386629853992,3.9542137934276,0.0176942554023232,53.7337930613551,0.782933640445977,53.8697244052229,0.272258267826945,2362.71110123905,4.45098255905072,30.8504706896552,0.177086032943115,"Double Cover"
"1782","UK","AL",2,225,2020.88458016297,6.32386629853992,3.9542137934276,0.0176942554023232,53.7337930613551,0.782933640445977,53.8697244052229,0.272258267826945,2362.71110123905,4.45098255905072,30.8504706896552,0.177086032943115,"Double Cover"
"1783","UK","AL",2,232,2020.88458016297,6.32386629853992,3.9542137934276,0.0176942554023232,53.7337930613551,0.782933640445977,53.8697244052229,0.272258267826945,2362.71110123905,4.45098255905072,30.8504706896552,0.177086032943115,"Double Cover"
"1784","UK","AL",2,239,2029.27332571861,6.58942053107588,3.90498410753811,0.0252237344900036,52.9113548032699,0.558372019932271,51.6985159843199,0.4624484665712,2366.70809763674,4.41941004563838,30.6710822580645,0.249401670223908,"Double Cover"
"1785","UK","AL",2,246,2029.27332571861,6.58942053107588,3.90498410753811,0.0252237344900036,52.9113548032699,0.558372019932271,51.6985159843199,0.4624484665712,2366.70809763674,4.41941004563838,30.6710822580645,0.249401670223908,"Double Cover"
"1786","UK","AL",2,253,2032.12437019787,9.25861346647352,3.87804715379575,0.0333655011039164,52.670090935447,0.738495497747798,50.7105451063676,0.505685744442948,2366.20141044325,6.24289028943691,30.7980704545455,0.348106476574492,"Double Cover"
"1787","UK","AL",2,260,2048.38243507823,9.16812971718474,3.83128591496555,0.0387217345023132,50.2598825342515,0.628161208041764,49.0959997738109,0.561324605218166,2377.97225569774,5.65246347709333,30.2460176470588,0.40991693708777,"Double Cover"
"1788","UK","AL",2,267,2048.38243507823,9.16812971718474,3.83128591496555,0.0387217345023132,50.2598825342515,0.628161208041764,49.0959997738109,0.561324605218166,2377.97225569774,5.65246347709333,30.2460176470588,0.40991693708777,"Double Cover"
"1789","UK","AL",2,274,2048.38243507823,9.16812971718474,3.83128591496555,0.0387217345023132,50.2598825342515,0.628161208041764,49.0959997738109,0.561324605218166,2377.97225569774,5.65246347709333,30.2460176470588,0.40991693708777,"Double Cover"
